user_id,event_id
605,1
605,2
605,3
605,4
605,5
605,6
605,7
605,8
605,9
605,16
605,17
605,18
605,19
605,20
605,21
605,22
605,23
605,24
605,25
605,26
605,27
605,28
605,31
605,32
605,33
605,34
605,35
605,36
605,37
605,38
605,39
605,40
605,41
605,42
605,43
605,44
605,45
605,46
605,70
605,79
605,80
605,81
605,82
605,83
605,86
605,87
605,88
605,89
605,90
605,91
605,92
605,93
605,94
605,95
605,96
605,97
605,98
605,99
605,100
605,101
605,102
605,103
605,104
605,105
605,106
605,107
605,108
605,109
605,110
605,111
605,112
605,113
605,114
605,115
605,116
605,117
605,118
605,119
605,126
605,146
605,147
605,156
605,157
605,158
605,159
605,160
605,161
605,162
605,163
605,164
605,165
605,166
605,167
605,168
605,169
605,176
605,177
605,178
605,179
605,180
605,181
605,182
605,183
605,184
605,185
605,186
605,187
605,188
605,189
605,190
605,191
605,192
605,193
605,200
605,201
605,202
605,214
605,215
605,216
605,217
605,218
605,219
605,220
605,232
605,233
605,236
605,237
605,238
605,239
605,240
605,241
605,242
605,243
605,244
605,245
605,246
605,248
