user_id,event_id
759,1
759,2
759,3
759,4
759,5
759,6
759,7
759,8
759,9
759,16
759,17
759,18
759,19
759,20
759,21
759,22
759,23
759,24
759,25
759,26
759,27
759,28
759,31
759,32
759,33
759,34
759,35
759,36
759,37
759,38
759,39
759,40
759,41
759,42
759,43
759,44
759,45
759,46
759,70
759,79
759,80
759,81
759,82
759,83
759,86
759,87
759,88
759,89
759,90
759,91
759,92
759,93
759,94
759,95
759,96
759,97
759,98
759,99
759,100
759,101
759,102
759,103
759,104
759,105
759,106
759,107
759,108
759,109
759,110
759,111
759,112
759,113
759,114
759,115
759,116
759,117
759,118
759,119
759,126
759,146
759,147
759,156
759,157
759,158
759,159
759,160
759,161
759,162
759,163
759,164
759,165
759,166
759,167
759,168
759,169
759,176
759,177
759,178
759,179
759,180
759,181
759,182
759,183
759,184
759,185
759,186
759,187
759,188
759,189
759,190
759,191
759,192
759,193
759,200
759,201
759,202
759,214
759,215
759,216
759,217
759,218
759,219
759,220
759,232
759,233
759,236
759,237
759,238
759,239
759,240
759,241
759,242
759,243
759,244
759,245
759,246
759,248
